Blk,Vtx,XPOf,YPOf,Dm,ObjN,ObjectName
002,387,0004,0064,000,0535,"Supply Container SW"
002,387,-014,0084,000,0535,"Supply Container SW"
002,387,0062,0054,000,0535,"Supply Container SW"
007,319,0036,0024,000,0008,"(null)"
007,298,0021,0096,000,0008,"(null)"
007,319,-061,0043,000,0008,"(null)"
007,339,-032,0029,000,0008,"(null)"
007,339,-048,0118,000,0008,"(null)"
007,299,-037,0037,000,0008,"(null)"
007,299,-051,0117,000,0008,"(null)"
007,375,-058,0098,000,0008,"(null)"
007,393,0042,0086,000,0008,"(null)"
007,338,0032,0067,000,0008,"(null)"
007,338,-040,0100,000,0008,"(null)"
007,339,-033,0096,000,0009,"(null)"
007,319,-003,0067,000,0210,"(null)"
007,299,0001,0166,000,0210,"(null)"
007,318,0065,0060,000,0213,"(null)"
007,318,0065,0068,000,0213,"(null)"
007,319,-103,0043,000,0213,"(null)"
007,338,0021,0036,000,0213,"(null)"
007,359,0046,0065,000,0213,"(null)"
007,318,-039,0025,000,0214,"(null)"
007,299,0058,0071,000,0214,"(null)"
007,299,-015,0115,000,0214,"(null)"
007,299,0077,0091,000,0214,"(null)"
007,319,0006,0075,000,0214,"(null)"
007,339,-027,0076,000,0214,"(null)"
007,339,0019,0057,000,0214,"(null)"
007,339,0007,0050,000,0214,"(null)"
007,369,0070,0026,000,0208,"Big Tree"
007,371,0016,0040,000,0208,"Big Tree"
007,392,-046,0050,000,0208,"Big Tree"
007,391,-044,0116,000,0208,"Big Tree"
007,370,0008,0056,000,0208,"Big Tree"
007,371,-002,0038,000,0208,"Big Tree"
007,371,-002,0088,000,0208,"Big Tree"
007,393,0004,0012,000,0208,"Big Tree"
007,395,0074,0088,000,0208,"Big Tree"
007,355,-026,0024,000,0208,"Big Tree"
007,356,0048,0054,000,0208,"Big Tree"
007,376,0082,0048,000,0208,"Big Tree"
007,358,-080,0056,000,0208,"Big Tree"
007,378,0034,0070,000,0208,"Big Tree"
007,379,-098,0056,000,0208,"Big Tree"
007,358,-018,0108,000,0208,"Big Tree"
007,337,-022,0060,000,0208,"Big Tree"
007,357,-012,0054,000,0208,"Big Tree"
007,355,0020,0096,000,0208,"Big Tree"
007,375,0048,0102,000,0208,"Big Tree"
007,199,0011,0044,000,0627,"Loading Facility NW"
008,280,-029,0064,000,0008,"(null)"
008,280,0067,0067,000,0008,"(null)"
008,280,0055,0087,000,0008,"(null)"
008,280,-029,0078,000,0008,"(null)"
008,320,-064,0100,000,0008,"(null)"
008,320,-031,0075,000,0008,"(null)"
008,280,-036,0060,000,0008,"(null)"
008,300,0018,0011,000,0008,"(null)"
008,280,-075,0046,000,0008,"(null)"
008,300,-022,0055,000,0210,"(null)"
008,300,-053,0043,000,0210,"(null)"
