Blk,Vtx,XPOf,YPOf,Dm,ObjN,ObjectName
007,359,-001,0060,000,0409,"Missile Turret"
007,379,-001,0060,000,0409,"Missile Turret"
007,395,-056,0058,000,0208,"Big Tree"
007,396,0054,0040,000,0208,"Big Tree"
007,357,-060,0060,000,0208,"Big Tree"
007,377,-038,0094,000,0208,"Big Tree"
007,356,-026,0066,000,0208,"Big Tree"
007,336,0040,0054,000,0208,"Big Tree"
007,317,0002,0054,000,0208,"Big Tree"
007,319,0010,0038,000,0208,"Big Tree"
007,278,-044,0048,000,0208,"Big Tree"
007,257,0070,0042,000,0208,"Big Tree"
007,236,-040,0058,000,0208,"Big Tree"
007,257,-026,0068,000,0208,"Big Tree"
007,258,-006,0108,000,0208,"Big Tree"
007,237,0086,0036,000,0208,"Big Tree"
007,238,0044,0084,000,0208,"Big Tree"
007,219,0020,0046,000,0208,"Big Tree"
007,178,-022,0072,000,0208,"Big Tree"
008,391,-001,0060,000,0409,"Missile Turret"
008,366,-001,0060,000,0409,"Missile Turret"
008,346,-001,0060,000,0409,"Missile Turret"
008,326,-001,0060,000,0409,"Missile Turret"
008,345,-001,0060,000,0409,"Missile Turret"
008,344,-001,0060,000,0409,"Missile Turret"
008,324,-001,0060,000,0409,"Missile Turret"
008,343,-001,0060,000,0409,"Missile Turret"
008,342,-001,0060,000,0409,"Missile Turret"
008,322,-001,0060,000,0409,"Missile Turret"
008,341,-001,0060,000,0409,"Missile Turret"
008,340,-001,0060,000,0409,"Missile Turret"
008,360,-001,0060,000,0409,"Missile Turret"
008,300,0024,0074,000,0208,"Big Tree"
008,280,0014,0072,000,0208,"Big Tree"
008,180,0024,0016,000,0208,"Big Tree"
008,181,0000,0054,000,0208,"Big Tree"
008,160,-010,0052,000,0208,"Big Tree"
008,262,0036,0082,000,0208,"Big Tree"
008,281,0026,0050,000,0208,"Big Tree"
008,282,0012,0070,000,0208,"Big Tree"
008,283,0038,0088,000,0208,"Big Tree"
008,264,-030,0042,000,0208,"Big Tree"
008,243,0010,0044,000,0208,"Big Tree"
008,224,0014,0042,000,0208,"Big Tree"
008,225,-058,0074,000,0208,"Big Tree"
008,244,0006,0052,000,0208,"Big Tree"
008,265,-016,0076,000,0208,"Big Tree"
008,285,0012,0074,000,0208,"Big Tree"
008,287,-040,0056,000,0208,"Big Tree"
008,266,0028,0050,000,0208,"Big Tree"
008,246,-036,0054,000,0208,"Big Tree"
008,141,0026,0064,000,0208,"Big Tree"
008,143,-042,0042,000,0208,"Big Tree"
008,143,0048,0046,000,0208,"Big Tree"
008,123,-060,0060,000,0208,"Big Tree"
008,121,0040,0072,000,0208,"Big Tree"
008,101,0030,0082,000,0208,"Big Tree"
008,082,-022,0060,000,0208,"Big Tree"
008,103,-006,0066,000,0208,"Big Tree"
008,125,-028,0064,000,0208,"Big Tree"
008,147,-050,0068,000,0208,"Big Tree"
008,105,0022,0062,000,0208,"Big Tree"
008,126,0080,0054,000,0208,"Big Tree"
008,127,-078,0030,000,0208,"Big Tree"
008,168,-024,0028,000,0208,"Big Tree"
008,148,0030,0068,000,0208,"Big Tree"
008,149,-016,0062,000,0208,"Big Tree"
008,168,0030,0134,000,0208,"Big Tree"
008,189,-016,0082,000,0208,"Big Tree"
008,190,-048,0046,000,0208,"Big Tree"
008,191,-014,0062,000,0208,"Big Tree"
008,211,-014,0054,000,0208,"Big Tree"
008,210,-012,0056,000,0208,"Big Tree"
