Blk,Vtx,XPOf,YPOf,Dm,ObjN,ObjectName
007,318,0065,0068,000,0213,"(null)"
007,319,-103,0043,000,0213,"(null)"
007,338,0021,0036,000,0213,"(null)"
007,359,0046,0065,000,0213,"(null)"
007,318,-039,0025,000,0214,"(null)"
007,298,-021,0032,000,0214,"(null)"
007,259,0008,0130,000,0214,"(null)"
007,299,0058,0071,000,0214,"(null)"
007,278,0090,0057,000,0214,"(null)"
007,299,-015,0115,000,0214,"(null)"
007,278,0006,0074,000,0214,"(null)"
007,299,0077,0091,000,0214,"(null)"
007,278,0015,0058,000,0214,"(null)"
007,319,0006,0075,000,0214,"(null)"
007,339,-027,0076,000,0214,"(null)"
007,339,0019,0057,000,0214,"(null)"
007,339,0007,0050,000,0214,"(null)"
007,193,-026,0084,000,0212,"Medium Tree"
007,233,-058,0080,000,0212,"Medium Tree"
007,235,-022,0014,000,0212,"Medium Tree"
007,232,0012,0082,000,0212,"Medium Tree"
007,192,0090,0036,000,0212,"Medium Tree"
007,233,-046,0082,000,0212,"Medium Tree"
007,213,-028,0062,000,0212,"Medium Tree"
008,260,-027,0088,000,0213,"(null)"
008,280,-044,0052,000,0213,"(null)"
008,320,0083,0081,000,0213,"(null)"
008,280,-035,0063,000,0213,"(null)"
008,300,-017,0082,000,0213,"(null)"
008,320,-063,0067,000,0213,"(null)"
008,261,-087,0056,000,0214,"(null)"
008,280,0015,0111,000,0214,"(null)"
008,300,0051,0072,000,0214,"(null)"
008,320,-011,0040,000,0214,"(null)"
008,269,0012,0010,000,0213,"(null)"
008,269,0016,0075,000,0213,"(null)"
008,268,0052,0067,000,0213,"(null)"
008,269,0008,0049,000,0213,"(null)"
008,289,0031,0075,000,0213,"(null)"
008,311,-067,0040,000,0213,"(null)"
008,311,-081,0059,000,0213,"(null)"
008,374,-006,0095,000,0303,"Fuel Tank"
008,375,-006,0095,000,0305,"(null)"
008,396,0051,0075,000,0382,"Field Office SW"
008,394,0006,0085,000,0304,"(null)"
008,395,0006,0085,000,0304,"(null)"
008,394,0000,0127,000,0277,"Streetlamp SW"
008,377,0023,0054,000,0214,"(null)"
008,357,-057,0088,000,0214,"(null)"
008,397,0065,0042,000,0214,"(null)"
008,377,0033,0066,000,0214,"(null)"
008,377,0049,0037,000,0214,"(null)"
008,397,0027,0034,000,0214,"(null)"
008,398,0047,0033,000,0214,"(null)"
008,370,0002,0032,000,0204,"HazMat Sphere R1"
008,370,-032,0052,000,0205,"HazMat Sphere R2"
008,370,-066,0073,000,0206,"HazMat Sphere R3"
008,368,0000,0000,000,0276,"Streetlamp SE"
008,388,-109,0063,000,0276,"Streetlamp SE"
008,388,0001,0127,000,0278,"Streetlamp NW"
008,368,0001,0124,000,0278,"Streetlamp NW"
008,390,0001,0027,000,0279,"Gas Tank SE"
008,390,-041,0048,000,0279,"Gas Tank SE"
008,288,-015,0072,000,0518,"Clan Administration Building"
008,309,0002,0068,000,0520,"Water Fountain"
008,307,-003,0061,000,0520,"Water Fountain"
008,287,-018,0017,000,0208,"Big Tree"
008,266,-027,0079,000,0208,"Big Tree"
008,266,0005,0063,000,0208,"Big Tree"
008,267,-050,0029,000,0208,"Big Tree"
008,287,0023,0057,000,0208,"Big Tree"
008,266,-023,0080,000,0208,"Big Tree"
