Blk,Vtx,XPOf,YPOf,Dm,ObjN,ObjectName
002,382,-008,0062,000,0208,"Big Tree"
003,322,-006,0095,032,0034,"Twin Silos SW (w/underlay)"
003,362,0031,0140,096,0137,"Valve Station SE (w/underlay)"
003,345,0024,0108,000,0208,"Big Tree"
003,380,0036,0038,000,0220,"Big Bushy Tree"
003,343,0096,0066,000,0200,"Junked Cars SE"
003,343,0014,0064,000,0201,"Junked Cars SW"
007,139,0034,0026,000,0208,"Big Tree"
007,078,0076,0048,000,0208,"Big Tree"
007,078,0072,0056,000,0208,"Big Tree"
007,078,0000,0090,000,0208,"Big Tree"
007,097,0092,0088,000,0208,"Big Tree"
007,099,-050,0052,000,0208,"Big Tree"
007,097,0020,0034,000,0208,"Big Tree"
007,096,0052,0068,000,0208,"Big Tree"
007,116,0050,0050,000,0208,"Big Tree"
007,117,0084,0054,000,0208,"Big Tree"
007,098,-010,0116,000,0208,"Big Tree"
007,059,-021,0034,000,0212,"Medium Tree"
008,389,0006,0091,000,0216,"Small Tree"
008,390,-079,0074,000,0216,"Small Tree"
008,390,-032,0068,000,0216,"Small Tree"
008,390,-002,0098,000,0216,"Small Tree"
008,390,0026,0071,000,0216,"Small Tree"
008,128,0006,0056,000,0299,"Stylish Farmhouse SE"
008,127,-077,0072,000,0208,"Big Tree"
008,147,0079,0080,000,0208,"Big Tree"
008,148,-065,0044,000,0208,"Big Tree"
008,127,-011,0070,000,0208,"Big Tree"
008,147,0034,0045,000,0208,"Big Tree"
008,147,-014,0080,000,0208,"Big Tree"
008,127,-030,0059,000,0208,"Big Tree"
008,150,-031,0106,000,0208,"Big Tree"
008,149,0011,0059,000,0208,"Big Tree"
008,129,-045,0101,000,0208,"Big Tree"
008,170,0036,0046,000,0208,"Big Tree"
008,150,-073,0047,000,0208,"Big Tree"
008,130,-015,0029,000,0208,"Big Tree"
008,130,-010,0051,000,0208,"Big Tree"
008,150,0049,0037,000,0208,"Big Tree"
008,110,-079,0064,000,0208,"Big Tree"
008,151,-019,0019,000,0208,"Big Tree"
008,130,-042,0078,000,0208,"Big Tree"
008,088,-007,0102,000,0212,"Medium Tree"
008,087,0023,0076,000,0212,"Medium Tree"
008,087,0078,0050,000,0212,"Medium Tree"
008,088,0006,0059,000,0212,"Medium Tree"
008,090,-030,0033,000,0212,"Medium Tree"
008,090,-069,0079,000,0212,"Medium Tree"
008,110,0000,0095,000,0212,"Medium Tree"
008,128,-021,0111,000,0212,"Medium Tree"
008,149,-049,0034,000,0212,"Medium Tree"
008,169,0028,0039,000,0212,"Medium Tree"
008,149,-008,0006,000,0212,"Medium Tree"
008,127,-001,0095,000,0212,"Medium Tree"
008,107,-041,0081,000,0212,"Medium Tree"
008,150,0016,0038,000,0212,"Medium Tree"
008,150,0010,0082,000,0212,"Medium Tree"
008,130,0033,0062,000,0212,"Medium Tree"
008,085,0001,0063,000,0092,"Field Storage NE"
008,083,0001,0063,000,0092,"Field Storage NE"
008,081,0004,0070,096,0074,"Command Station (w/underlay) NE"
008,084,-011,0063,000,0254,"Small Barrels B /"
008,084,-005,0079,000,0254,"Small Barrels B /"
008,148,0041,0025,096,0141,"Small Water Tower R2 (w/underlay)"
008,064,0026,0040,000,0650,"Debris C"
008,063,0078,0068,000,0650,"Debris C"
008,064,0036,0094,000,0650,"Debris C"
008,064,0000,0062,000,0649,"Debris B"
008,064,-046,0042,000,0649,"Debris B"
008,042,-008,0096,000,0648,"Debris A"
008,062,0028,0040,000,0648,"Debris A"
008,062,0048,0070,000,0203,"Junked Cars NE"
008,042,-052,0074,000,0201,"Junked Cars SW"
008,002,-072,0066,000,0208,"Big Tree"
008,001,-064,0058,000,0208,"Big Tree"
008,048,-006,0026,000,0208,"Big Tree"
008,069,-002,0004,000,0208,"Big Tree"
008,140,0050,0066,000,0208,"Big Tree"
008,141,-044,0070,000,0208,"Big Tree"
008,141,0008,0080,000,0208,"Big Tree"
008,141,0036,0092,000,0208,"Big Tree"
008,142,-046,0072,000,0208,"Big Tree"
008,142,-018,0086,000,0208,"Big Tree"
008,120,0012,0014,000,0208,"Big Tree"
008,120,-046,0050,000,0208,"Big Tree"
008,120,0018,0090,000,0208,"Big Tree"
008,120,0004,0120,000,0208,"Big Tree"
008,080,0026,0078,000,0208,"Big Tree"
008,080,-002,0076,000,0208,"Big Tree"
008,080,-070,0076,000,0208,"Big Tree"
008,080,-022,0028,000,0208,"Big Tree"
008,041,-034,0090,000,0534,"Supply Container SE"
008,040,-062,0063,000,0212,"Medium Tree"
008,040,0020,0092,000,0212,"Medium Tree"
008,040,0010,0019,000,0212,"Medium Tree"
008,020,-045,0086,000,0212,"Medium Tree"
008,041,-008,0042,000,0212,"Medium Tree"
008,061,-062,0047,000,0212,"Medium Tree"
008,066,0001,0073,000,0537,"Container Stack SW"
008,123,-029,0040,000,0560,"Quonset Hut (Dirt) R2"
008,123,0033,0079,000,0560,"Quonset Hut (Dirt) R2"
008,125,-027,0041,000,0560,"Quonset Hut (Dirt) R2"
008,125,0038,0080,000,0560,"Quonset Hut (Dirt) R2"
008,061,0003,0066,000,0535,"Supply Container SW"
008,063,0031,0041,000,0202,"Junked Cars NW"
009,269,-018,0090,000,0232,"Round Top Tree"
009,270,-054,0082,000,0232,"Round Top Tree"
009,270,0010,0116,000,0232,"Round Top Tree"
009,271,-034,0092,000,0232,"Round Top Tree"
009,272,-060,0074,000,0232,"Round Top Tree"
009,269,-082,0060,000,0240,"Big Pine Tree"
009,269,0010,0010,000,0240,"Big Pine Tree"
009,315,-014,0096,000,0269,"Barricade A \"
009,315,-044,0120,000,0269,"Barricade A \"
009,003,0015,0055,000,0022,"Barn SE (w/underlay)"
009,000,0090,0068,000,0208,"Big Tree"
009,297,0001,0075,160,0140,"Small Water Tower R1 (w/underlay)"
009,311,-003,0039,160,0026,"Farmhouse SSE (w/underlay)"
009,211,-001,0001,000,0208,"Big Tree"
009,191,-083,0049,000,0208,"Big Tree"
009,190,0057,0090,000,0208,"Big Tree"
009,190,0097,0072,000,0208,"Big Tree"
009,212,-001,0002,000,0208,"Big Tree"
009,191,0041,0100,000,0208,"Big Tree"
009,191,0082,0080,000,0208,"Big Tree"
009,192,-039,0028,000,0208,"Big Tree"
009,212,-092,0062,000,0208,"Big Tree"
009,212,-059,0040,000,0208,"Big Tree"
009,212,-029,0025,000,0208,"Big Tree"
009,213,-097,0059,000,0208,"Big Tree"
009,213,-066,0049,000,0208,"Big Tree"
009,212,0078,0078,000,0208,"Big Tree"
009,192,-002,0125,000,0208,"Big Tree"
009,193,-076,0053,000,0208,"Big Tree"
009,192,0074,0084,000,0208,"Big Tree"
009,213,0005,0124,000,0208,"Big Tree"
009,214,-068,0051,000,0208,"Big Tree"
009,214,-033,0020,000,0208,"Big Tree"
009,193,0001,0127,000,0208,"Big Tree"
009,193,0038,0105,000,0208,"Big Tree"
009,194,-078,0051,000,0208,"Big Tree"
009,194,-035,0021,000,0208,"Big Tree"
009,174,-107,0066,000,0208,"Big Tree"
009,195,-064,0049,000,0208,"Big Tree"
009,195,-028,0024,000,0208,"Big Tree"
009,175,-107,0066,000,0208,"Big Tree"
009,154,-005,0125,000,0208,"Big Tree"
009,175,-026,0020,000,0208,"Big Tree"
009,174,0059,0089,000,0208,"Big Tree"
009,175,-074,0043,000,0208,"Big Tree"
009,175,-001,0127,000,0208,"Big Tree"
009,175,0031,0109,000,0208,"Big Tree"
009,175,0084,0074,000,0208,"Big Tree"
009,175,0066,0083,000,0208,"Big Tree"
009,176,0002,0120,000,0208,"Big Tree"
009,176,0059,0082,000,0208,"Big Tree"
009,176,0093,0065,000,0208,"Big Tree"
009,176,0041,0097,000,0208,"Big Tree"
009,192,0107,0062,000,0208,"Big Tree"
009,172,0076,0083,000,0208,"Big Tree"
009,172,0105,0066,000,0208,"Big Tree"
009,174,-070,0048,000,0208,"Big Tree"
009,173,0085,0077,000,0208,"Big Tree"
009,171,0067,0085,000,0208,"Big Tree"
009,172,0007,0006,000,0208,"Big Tree"
009,172,-015,0013,000,0208,"Big Tree"
009,171,-072,0050,000,0208,"Big Tree"
009,170,0022,0112,000,0208,"Big Tree"
009,171,-041,0028,000,0208,"Big Tree"
009,171,-005,0005,000,0208,"Big Tree"
009,189,0008,0122,000,0208,"Big Tree"
009,190,-068,0053,000,0208,"Big Tree"
009,190,-029,0024,000,0208,"Big Tree"
009,170,-105,0065,000,0208,"Big Tree"
009,170,-068,0045,000,0208,"Big Tree"
009,170,-038,0027,000,0208,"Big Tree"
009,170,-003,0007,000,0208,"Big Tree"
009,150,-081,0065,000,0208,"Big Tree"
009,150,-080,0076,000,0208,"Big Tree"
009,150,-049,0050,000,0208,"Big Tree"
009,150,-013,0015,000,0208,"Big Tree"
009,130,-094,0063,000,0208,"Big Tree"
009,130,-038,0032,000,0208,"Big Tree"
009,130,-008,0010,000,0208,"Big Tree"
009,151,-087,0065,000,0208,"Big Tree"
009,151,-050,0040,000,0208,"Big Tree"
009,151,-021,0025,000,0208,"Big Tree"
009,111,-109,0064,000,0208,"Big Tree"
009,131,-018,0019,000,0208,"Big Tree"
009,130,0061,0091,000,0208,"Big Tree"
009,131,-074,0043,000,0208,"Big Tree"
009,151,0040,0099,000,0208,"Big Tree"
009,151,0076,0083,000,0208,"Big Tree"
009,151,0106,0063,000,0208,"Big Tree"
009,131,0031,0109,000,0208,"Big Tree"
009,132,-041,0026,000,0208,"Big Tree"
009,132,-009,0006,000,0208,"Big Tree"
009,132,-082,0056,000,0208,"Big Tree"
009,152,0016,0017,000,0208,"Big Tree"
009,152,0025,0108,000,0208,"Big Tree"
009,153,-036,0021,000,0208,"Big Tree"
009,132,0000,0123,000,0208,"Big Tree"
009,132,0031,0103,000,0208,"Big Tree"
009,133,-004,0003,000,0208,"Big Tree"
009,154,-104,0060,000,0208,"Big Tree"
009,153,0045,0098,000,0208,"Big Tree"
009,154,-090,0067,000,0208,"Big Tree"
009,154,-030,0024,000,0208,"Big Tree"
009,133,0008,0117,000,0208,"Big Tree"
009,134,-099,0059,000,0208,"Big Tree"
009,154,0002,0011,000,0208,"Big Tree"
009,154,0025,0113,000,0208,"Big Tree"
009,154,0057,0083,000,0208,"Big Tree"
009,110,-078,0059,000,0208,"Big Tree"
009,110,-085,0067,000,0208,"Big Tree"
009,110,-041,0030,000,0208,"Big Tree"
009,110,-039,0039,000,0208,"Big Tree"
009,110,0005,0017,000,0208,"Big Tree"
009,090,-071,0049,000,0208,"Big Tree"
