Blk,Vtx,XPOf,YPOf,Dm,ObjN,ObjectName
003,397,-006,0054,000,0639,"Mobile Orbital Gun"
004,385,-006,0070,000,0533,"Pressure Tank"
004,386,0000,0072,000,0533,"Pressure Tank"
012,339,0035,0072,000,0603,"Blast Deflector R11 E"
012,319,-052,0041,000,0604,"Blast Deflector R12"
012,298,0031,0085,000,0605,"Blast Deflector R13"
012,278,0053,0094,000,0606,"Blast Deflector R14"
012,259,-010,0075,000,0607,"Blast Deflector R15 S"
012,094,-004,0060,000,0488,"Support Building"
012,014,0008,0068,000,0639,"Mobile Orbital Gun"
013,126,-035,0082,000,0593,"Blast Deflector R1"
013,246,0036,0044,000,0601,"Blast Deflector R9"
013,183,0033,0089,000,0605,"Blast Deflector R13"
013,144,0006,0078,000,0607,"Blast Deflector R15 S"
013,164,-049,0031,000,0606,"Blast Deflector R14"
013,145,0048,0030,000,0608,"Blast Deflector R16"
013,168,0051,0096,000,0596,"Blast Deflector R4"
013,148,-033,0061,000,0595,"Blast Deflector R3 W"
013,147,0048,0034,000,0594,"Blast Deflector R2"
013,227,-045,0098,000,0600,"Blast Deflector R8"
013,209,-053,0038,000,0598,"Blast Deflector R6"
013,225,-050,0085,000,0602,"Blast Deflector R10"
013,224,0032,0056,000,0603,"Blast Deflector R11 E"
013,204,-052,0033,000,0604,"Blast Deflector R12"
013,221,-034,0082,000,0593,"Blast Deflector R1"
013,242,0048,0035,000,0594,"Blast Deflector R2"
013,243,-034,0063,000,0595,"Blast Deflector R3 W"
013,263,0048,0093,000,0596,"Blast Deflector R4"
013,284,-036,0047,000,0597,"Blast Deflector R5 "
013,322,-029,0093,000,0600,"Blast Deflector R8"
013,323,0007,0048,000,0599,"Blast Deflector R7 N"
013,303,0054,0096,000,0598,"Blast Deflector R6"
013,320,-048,0093,000,0602,"Blast Deflector R10"
013,240,0040,0030,000,0608,"Blast Deflector R16"
013,231,-037,0085,000,0593,"Blast Deflector R1"
013,252,0046,0043,000,0594,"Blast Deflector R2"
013,253,-033,0075,000,0595,"Blast Deflector R3 W"
013,273,0052,0097,000,0596,"Blast Deflector R4"
013,294,-036,0047,000,0597,"Blast Deflector R5 "
013,332,-054,0096,000,0600,"Blast Deflector R8"
013,333,-012,0050,000,0599,"Blast Deflector R7 N"
013,313,0038,0098,000,0598,"Blast Deflector R6"
013,330,-054,0089,000,0602,"Blast Deflector R10"
013,309,-058,0034,000,0604,"Blast Deflector R12"
013,288,0039,0080,000,0605,"Blast Deflector R13"
013,268,0059,0088,000,0606,"Blast Deflector R14"
013,249,-004,0069,000,0607,"Blast Deflector R15 S"
013,250,0047,0029,000,0608,"Blast Deflector R16"
013,326,-029,0082,000,0593,"Blast Deflector R1"
013,347,0058,0038,000,0594,"Blast Deflector R2"
013,348,-022,0072,000,0595,"Blast Deflector R3 W"
013,369,-051,0035,000,0596,"Blast Deflector R4"
013,389,-037,0047,000,0597,"Blast Deflector R5 "
013,383,0031,0084,000,0605,"Blast Deflector R13"
013,325,-056,0091,000,0608,"Blast Deflector R16"
013,363,0058,0083,000,0606,"Blast Deflector R14"
013,026,-006,0070,000,0533,"Pressure Tank"
013,025,-006,0062,000,0533,"Pressure Tank"
013,024,-004,0070,000,0533,"Pressure Tank"
013,027,-002,0068,000,0533,"Pressure Tank"
013,004,0002,0062,000,0533,"Pressure Tank"
013,005,0002,0072,000,0533,"Pressure Tank"
013,006,0002,0066,000,0533,"Pressure Tank"
013,007,0004,0066,000,0533,"Pressure Tank"
020,283,-002,0070,000,0499,"MechWarrior Barracks SW"
020,287,0014,0068,000,0633,"Mech Repair Bay"
020,323,0001,0055,000,0296,"Command Station"
020,343,-004,0060,000,0488,"Support Building"
022,027,-053,0096,000,0600,"Blast Deflector R8"
022,028,-006,0052,000,0599,"Blast Deflector R7 N"
022,008,0038,0098,000,0598,"Blast Deflector R6"
022,025,-053,0083,000,0602,"Blast Deflector R10"
022,024,0030,0056,000,0603,"Blast Deflector R11 E"
022,004,-053,0036,000,0604,"Blast Deflector R12"
028,348,0002,0056,160,0094,"Resource Bunker (empty) SW"
028,386,-005,0061,160,0095,"Resource Bunker (empty) SE"
028,388,0006,0061,160,0093,"Resource Bunker (empty) NW"
028,389,-002,0051,160,0096,"Resource Bunker (empty) NE"
028,347,0006,0057,160,0092,"Field Storage NE"
028,366,0003,0058,160,0091,"Field Storage SE"
028,349,0051,0075,160,0133,"Field Office SW (w/underlay)"
028,327,0010,0040,000,0559,"Quonset Hut (Dirt) R1"
028,328,0000,0030,000,0559,"Quonset Hut (Dirt) R1"
028,329,0000,0032,000,0559,"Quonset Hut (Dirt) R1"
028,307,0002,0034,000,0560,"Quonset Hut (Dirt) R2"
028,308,-004,0034,000,0560,"Quonset Hut (Dirt) R2"
028,309,-004,0032,000,0560,"Quonset Hut (Dirt) R2"
029,366,-001,0060,000,0409,"Missile Turret"
029,368,-001,0060,000,0409,"Missile Turret"
029,025,0058,0066,000,0267,"Guardhouse NE"
029,027,-010,0032,000,0267,"Guardhouse NE"
030,399,-004,0064,000,0502,"MechWarrior Barracks NW"
030,359,0000,0064,000,0502,"MechWarrior Barracks NW"
030,316,0011,0065,032,0344,"Purification Plant NW"
030,356,0011,0065,032,0344,"Purification Plant NW"
030,314,0020,0065,032,0343,"Purification Plant SW"
030,354,0020,0065,032,0343,"Purification Plant SW"
030,373,0001,0075,032,0340,"Pumping Station NW"
030,353,0001,0075,032,0340,"Pumping Station NW"
031,059,0005,0061,064,0309,"Geodesic Dome R3"
031,199,0005,0061,064,0309,"Geodesic Dome R3"
031,099,0007,0055,096,0330,"Chemical Plant SE"
031,139,0007,0055,096,0330,"Chemical Plant SE"
031,265,0043,0040,000,0590,"Urban Train station SW"
031,266,0054,0045,000,0590,"Urban Train station SW"
031,267,0064,0051,000,0590,"Urban Train station SW"
031,264,0036,0039,000,0590,"Urban Train station SW"
031,355,0002,0066,000,0620,"Resource Warehouse SW"
031,331,-002,0074,000,0537,"Container Stack SW"
031,333,-004,0068,000,0536,"Container Stack SE"
031,130,-040,0068,000,0208,"Big Tree"
031,170,0076,0056,000,0208,"Big Tree"
031,151,0004,0032,000,0208,"Big Tree"
031,172,0070,0048,000,0208,"Big Tree"
031,172,0070,0082,000,0208,"Big Tree"
031,174,-026,0088,000,0208,"Big Tree"
031,195,0072,0062,000,0208,"Big Tree"
031,153,0068,0090,000,0208,"Big Tree"
031,115,0004,0080,000,0208,"Big Tree"
031,136,0058,0072,000,0208,"Big Tree"
031,157,-056,0092,000,0208,"Big Tree"
031,197,0028,0036,000,0208,"Big Tree"
031,156,-030,0024,000,0208,"Big Tree"
031,133,0046,0064,000,0208,"Big Tree"
031,123,0016,0060,000,0208,"Big Tree"
031,143,-012,0058,000,0208,"Big Tree"
031,165,-046,0048,000,0208,"Big Tree"
031,145,0044,0050,000,0208,"Big Tree"
031,168,0002,0070,000,0208,"Big Tree"
031,147,0002,0074,000,0208,"Big Tree"
031,127,0022,0080,000,0208,"Big Tree"
031,170,-064,0050,000,0208,"Big Tree"
031,167,0028,0052,000,0208,"Big Tree"
031,132,-030,0040,000,0208,"Big Tree"
031,152,0026,0060,000,0208,"Big Tree"
031,117,-032,0084,000,0208,"Big Tree"
031,116,0004,0030,000,0208,"Big Tree"
031,196,0060,0078,000,0208,"Big Tree"
031,155,-044,0064,000,0208,"Big Tree"
031,371,0006,0066,000,0483,"Auxiliary Generator"
031,255,-004,0021,000,0252,"Small Barrels A /"
031,255,-062,0055,000,0252,"Small Barrels A /"
031,255,-053,0071,000,0252,"Small Barrels A /"
031,255,-004,0039,000,0252,"Small Barrels A /"
031,255,-012,0062,000,0252,"Small Barrels A /"
031,255,0028,0058,000,0252,"Small Barrels A /"
031,255,-023,0085,000,0252,"Small Barrels A /"
031,255,0015,0084,000,0252,"Small Barrels A /"
031,255,-002,0115,000,0252,"Small Barrels A /"
031,255,0048,0092,000,0252,"Small Barrels A /"
031,255,0064,0053,000,0252,"Small Barrels A /"
031,256,-011,0014,000,0252,"Small Barrels A /"
031,256,-046,0046,000,0252,"Small Barrels A /"
031,276,0010,0006,000,0252,"Small Barrels A /"
031,235,-071,0069,000,0253,"Small Barrels A \"
031,235,-038,0063,000,0253,"Small Barrels A \"
031,235,-014,0098,000,0253,"Small Barrels A \"
031,236,-073,0052,000,0253,"Small Barrels A \"
031,275,0064,0055,000,0253,"Small Barrels A \"
031,275,-002,0007,000,0253,"Small Barrels A \"
031,254,-001,0037,000,0582,"Railroad Tower B SW"
031,253,0002,0047,000,0582,"Railroad Tower B SW"
031,252,-011,0036,000,0582,"Railroad Tower B SW"
031,251,-019,0040,000,0582,"Railroad Tower B SW"
031,250,-002,0043,000,0582,"Railroad Tower B SW"
031,345,0001,0055,000,0296,"Command Station"
031,349,-002,0060,000,0488,"Support Building"
031,389,0000,0070,000,0488,"Support Building"
031,347,0000,0056,000,0488,"Support Building"
032,102,0038,0094,000,0539,"Loading Platform (non-ani) SE"
032,204,0002,0014,000,0207,"HazMat Sphere R4"
032,021,0005,0061,064,0309,"Geodesic Dome R3"
032,221,0005,0061,064,0309,"Geodesic Dome R3"
032,060,0007,0055,096,0330,"Chemical Plant SE"
032,100,0007,0055,096,0330,"Chemical Plant SE"
032,140,0007,0055,096,0330,"Chemical Plant SE"
032,162,0007,0055,096,0330,"Chemical Plant SE"
032,183,0007,0055,096,0330,"Chemical Plant SE"
032,223,0004,0056,096,0329,"Chemical Plant SW"
032,205,0038,0102,000,0539,"Loading Platform (non-ani) SE"
033,089,-004,0058,000,0488,"Support Building"
033,068,-004,0068,000,0499,"MechWarrior Barracks SW"
037,117,-031,0083,000,0593,"Blast Deflector R1"
037,118,-049,0098,000,0594,"Blast Deflector R2"
037,139,-011,0074,000,0595,"Blast Deflector R3 W"
037,219,0007,0056,000,0599,"Blast Deflector R7 N"
037,218,-043,0103,000,0600,"Blast Deflector R8"
037,216,-057,0091,000,0602,"Blast Deflector R10"
037,215,0027,0063,000,0603,"Blast Deflector R11 E"
037,195,-054,0035,000,0604,"Blast Deflector R12"
037,174,0033,0086,000,0605,"Blast Deflector R13"
037,155,-044,0031,000,0606,"Blast Deflector R14"
037,135,0003,0078,000,0607,"Blast Deflector R15 S"
037,136,0048,0031,000,0608,"Blast Deflector R16"
037,299,0059,0090,000,0604,"Blast Deflector R12"
037,317,-035,0085,000,0593,"Blast Deflector R1"
037,338,0053,0040,000,0594,"Blast Deflector R2"
037,339,-026,0071,000,0595,"Blast Deflector R3 W"
037,399,0049,0094,000,0598,"Blast Deflector R6"
037,394,0053,0090,000,0604,"Blast Deflector R12"
037,374,0033,0082,000,0605,"Blast Deflector R13"
037,354,0058,0094,000,0606,"Blast Deflector R14"
037,336,0048,0028,000,0608,"Blast Deflector R16"
037,233,0055,0040,000,0594,"Blast Deflector R2"
037,254,0061,0092,000,0596,"Blast Deflector R4"
037,294,0044,0094,000,0598,"Blast Deflector R6"
037,314,0000,0050,000,0599,"Blast Deflector R7 N"
037,313,-045,0098,000,0600,"Blast Deflector R8"
037,332,0036,0041,000,0601,"Blast Deflector R9"
037,310,0022,0064,000,0603,"Blast Deflector R11 E"
037,331,0048,0030,000,0602,"Blast Deflector R10"
037,289,0050,0099,000,0604,"Blast Deflector R12"
037,269,0032,0081,000,0605,"Blast Deflector R13"
037,249,0058,0092,000,0606,"Blast Deflector R14"
037,230,0003,0075,000,0607,"Blast Deflector R15 S"
037,231,0049,0032,000,0608,"Blast Deflector R16"
037,055,-001,0060,000,0409,"Missile Turret"
037,071,-001,0060,000,0409,"Missile Turret"
037,108,-001,0060,000,0409,"Missile Turret"
037,186,-001,0060,000,0409,"Missile Turret"
037,224,-001,0060,000,0409,"Missile Turret"
037,344,-001,0060,000,0409,"Missile Turret"
037,383,-001,0060,000,0409,"Missile Turret"
037,285,0000,0064,000,0483,"Auxiliary Generator"
037,265,-001,0060,000,0409,"Missile Turret"
037,305,-001,0060,000,0409,"Missile Turret"
037,006,-005,0061,160,0095,"Resource Bunker (empty) SE"
037,008,0006,0061,160,0097,"Resource Bunker (full) NW"
037,247,0000,0060,000,0639,"Mobile Orbital Gun"
037,327,-004,0056,000,0639,"Mobile Orbital Gun"
037,385,-016,0056,000,0488,"Support Building"
037,090,-008,0080,000,0469,"Turret Control"
038,140,-040,0037,000,0596,"Blast Deflector R4"
038,180,-053,0038,000,0598,"Blast Deflector R6"
038,202,-030,0085,000,0593,"Blast Deflector R1"
038,203,-043,0102,000,0594,"Blast Deflector R2"
038,224,-010,0072,000,0595,"Blast Deflector R3 W"
038,245,-037,0030,000,0596,"Blast Deflector R4"
038,284,0052,0097,000,0598,"Blast Deflector R6"
038,304,0011,0051,000,0599,"Blast Deflector R7 N"
038,322,0036,0040,000,0601,"Blast Deflector R9"
038,303,-048,0095,000,0600,"Blast Deflector R8"
038,301,-055,0084,000,0602,"Blast Deflector R10"
038,300,0032,0053,000,0603,"Blast Deflector R11 E"
038,240,-045,0030,000,0606,"Blast Deflector R14"
038,221,0042,0028,000,0608,"Blast Deflector R16"
038,340,-051,0032,000,0596,"Blast Deflector R4"
038,388,-001,0060,000,0409,"Missile Turret"
038,328,-001,0060,000,0409,"Missile Turret"
038,310,-001,0060,000,0409,"Missile Turret"
038,311,-001,0060,000,0409,"Missile Turret"
038,231,-001,0060,000,0409,"Missile Turret"
038,230,-001,0060,000,0409,"Missile Turret"
038,189,-001,0060,000,0409,"Missile Turret"
038,069,-001,0060,000,0409,"Missile Turret"
038,023,-001,0060,000,0409,"Missile Turret"
038,020,-001,0060,000,0409,"Missile Turret"
038,063,0004,0068,000,0633,"Mech Repair Bay"
038,146,0010,0068,000,0488,"Support Building"
038,148,0004,0066,000,0499,"MechWarrior Barracks SW"
038,399,-002,0062,000,0489,"Hanger"
038,089,-006,0066,000,0499,"MechWarrior Barracks SW"
038,386,0004,0074,000,0469,"Turret Control"
038,046,0036,0066,000,0469,"Turret Control"
039,039,-006,0066,000,0502,"MechWarrior Barracks NW"
039,079,0008,0068,000,0502,"MechWarrior Barracks NW"
039,381,0000,0068,000,0489,"Hanger"
039,383,-002,0066,000,0489,"Hanger"
039,159,-020,0072,000,0533,"Pressure Tank"
039,199,0006,0068,000,0533,"Pressure Tank"
039,219,0002,0062,000,0720,"Industrial Complex SW"
039,096,0005,0061,032,0307,"Geodesic Dome R1"
039,092,0005,0061,032,0307,"Geodesic Dome R1"
039,074,0005,0061,032,0307,"Geodesic Dome R1"
039,032,0005,0061,032,0307,"Geodesic Dome R1"
039,036,0005,0061,032,0307,"Geodesic Dome R1"
039,014,0005,0061,032,0307,"Geodesic Dome R1"
039,132,-002,0072,000,0488,"Support Building"
039,172,0012,0064,000,0488,"Support Building"
039,212,0016,0070,000,0488,"Support Building"
039,216,0010,0062,000,0720,"Industrial Complex SW"
039,136,0002,0068,000,0720,"Industrial Complex SW"
039,154,0020,0054,000,0721,"Industrial Complex SE"
039,194,0012,0058,000,0721,"Industrial Complex SE"
040,383,0020,0056,000,0623,"City Hall"
040,386,0020,0056,000,0623,"City Hall"
040,381,-036,0046,000,0678,"Office 2b_a1"
040,388,-028,0064,000,0675,"Office 1b_a4"
040,320,-008,0026,000,0677,"Office 1b_a2"
040,322,0024,0026,000,0673,"Office 3_a4"
040,325,0006,0020,000,0669,"Office 2_a3"
040,032,0000,0062,000,0633,"Mech Repair Bay"
040,181,-020,0066,000,0533,"Pressure Tank"
040,141,-010,0060,000,0533,"Pressure Tank"
040,160,-004,0062,000,0630,"Oil Derrick"
040,294,0002,0056,064,0094,"Resource Bunker (empty) SW"
040,293,0002,0056,064,0094,"Resource Bunker (empty) SW"
040,292,0002,0056,064,0094,"Resource Bunker (empty) SW"
040,291,0002,0056,064,0094,"Resource Bunker (empty) SW"
040,290,0002,0056,064,0094,"Resource Bunker (empty) SW"
040,250,0002,0056,064,0094,"Resource Bunker (empty) SW"
040,251,0002,0056,064,0094,"Resource Bunker (empty) SW"
040,252,0002,0056,064,0094,"Resource Bunker (empty) SW"
040,253,0002,0056,064,0094,"Resource Bunker (empty) SW"
040,254,0002,0056,064,0094,"Resource Bunker (empty) SW"
040,255,0002,0056,064,0094,"Resource Bunker (empty) SW"
040,328,-010,0074,000,0551,"Large Office Building A"
040,286,-016,0034,000,0663,"Office 1_a1"
040,268,-004,0032,000,0668,"Office 2_a2"
040,226,-030,0042,000,0671,"Office 3_a2"
040,208,0006,0036,000,0674,"Office 1b_a1"
040,261,-002,0051,160,0100,"Resource Bunker (full) NE"
040,263,-002,0051,160,0100,"Resource Bunker (full) NE"
040,129,-001,0060,000,0409,"Missile Turret"
040,089,-001,0060,000,0409,"Missile Turret"
040,190,-001,0060,000,0409,"Missile Turret"
040,192,-001,0060,000,0409,"Missile Turret"
040,175,-001,0060,000,0409,"Missile Turret"
040,135,-001,0060,000,0409,"Missile Turret"
040,072,-001,0060,000,0409,"Missile Turret"
040,070,-001,0060,000,0409,"Missile Turret"
040,156,-001,0060,000,0409,"Missile Turret"
040,096,-001,0060,000,0409,"Missile Turret"
040,077,-001,0060,000,0409,"Missile Turret"
040,079,-001,0060,000,0409,"Missile Turret"
040,199,-001,0060,000,0409,"Missile Turret"
040,113,-022,0052,000,0639,"Mobile Orbital Gun"
040,370,-002,0051,160,0096,"Resource Bunker (empty) NE"
040,372,-002,0051,160,0096,"Resource Bunker (empty) NE"
040,374,-002,0051,160,0096,"Resource Bunker (empty) NE"
040,034,-006,0066,000,0497,"Component Warehouse SW"
040,153,-028,0062,000,0488,"Support Building"
040,151,-022,0058,000,0488,"Support Building"
040,158,-022,0062,000,0488,"Support Building"
040,066,0044,0038,000,0469,"Turret Control"
041,146,0032,0086,000,0618,"Resource Warehouse NE"
041,186,0038,0096,000,0618,"Resource Warehouse NE"
041,227,-060,0034,000,0618,"Resource Warehouse NE"
041,267,-036,0038,000,0618,"Resource Warehouse NE"
041,082,-001,0060,000,0409,"Missile Turret"
041,122,-001,0060,000,0409,"Missile Turret"
041,181,-001,0060,000,0409,"Missile Turret"
041,100,-006,0052,000,0639,"Mobile Orbital Gun"
041,131,0004,0066,000,0499,"MechWarrior Barracks SW"
041,091,-002,0068,000,0499,"MechWarrior Barracks SW"
041,171,0006,0064,000,0488,"Support Building"
041,140,0001,0055,000,0296,"Command Station"
041,158,0001,0067,000,0522,"Clan Mine Pattern (Five)"
041,178,0008,0068,000,0522,"Clan Mine Pattern (Five)"
041,198,0006,0072,000,0522,"Clan Mine Pattern (Five)"
041,218,0004,0067,000,0522,"Clan Mine Pattern (Five)"
041,217,0004,0074,000,0522,"Clan Mine Pattern (Five)"
041,238,0029,0070,000,0522,"Clan Mine Pattern (Five)"
041,197,0005,0078,000,0522,"Clan Mine Pattern (Five)"
041,177,0002,0078,000,0522,"Clan Mine Pattern (Five)"
041,157,0002,0074,000,0522,"Clan Mine Pattern (Five)"
041,137,-023,0071,000,0522,"Clan Mine Pattern (Five)"
041,136,0007,0068,000,0522,"Clan Mine Pattern (Five)"
041,156,0007,0075,000,0522,"Clan Mine Pattern (Five)"
041,176,-001,0077,000,0522,"Clan Mine Pattern (Five)"
041,196,0002,0078,000,0522,"Clan Mine Pattern (Five)"
041,216,0001,0071,000,0522,"Clan Mine Pattern (Five)"
041,215,0005,0069,000,0522,"Clan Mine Pattern (Five)"
041,214,0001,0064,000,0522,"Clan Mine Pattern (Five)"
041,195,-003,0062,000,0522,"Clan Mine Pattern (Five)"
041,175,-003,0068,000,0522,"Clan Mine Pattern (Five)"
041,155,-003,0066,000,0522,"Clan Mine Pattern (Five)"
041,135,0008,0068,000,0522,"Clan Mine Pattern (Five)"
041,115,0002,0060,000,0522,"Clan Mine Pattern (Five)"
041,095,0002,0064,000,0522,"Clan Mine Pattern (Five)"
041,194,-006,0090,000,0704,"Large Gate Control SE"
041,199,0000,0064,000,0691,"Large Southeast Gate"
042,227,-004,0058,000,0522,"Clan Mine Pattern (Five)"
042,226,0000,0058,000,0522,"Clan Mine Pattern (Five)"
042,245,-002,0068,000,0522,"Clan Mine Pattern (Five)"
042,246,-006,0058,000,0522,"Clan Mine Pattern (Five)"
042,247,-008,0056,000,0522,"Clan Mine Pattern (Five)"
042,267,-002,0058,000,0522,"Clan Mine Pattern (Five)"
042,266,0004,0060,000,0522,"Clan Mine Pattern (Five)"
042,265,0002,0060,000,0522,"Clan Mine Pattern (Five)"
042,286,0002,0064,000,0522,"Clan Mine Pattern (Five)"
042,287,0006,0054,000,0522,"Clan Mine Pattern (Five)"
042,307,0000,0058,000,0522,"Clan Mine Pattern (Five)"
042,306,0002,0054,000,0522,"Clan Mine Pattern (Five)"
042,305,0008,0060,000,0522,"Clan Mine Pattern (Five)"
042,325,-002,0056,000,0522,"Clan Mine Pattern (Five)"
042,326,-010,0058,000,0522,"Clan Mine Pattern (Five)"
042,327,0000,0060,000,0522,"Clan Mine Pattern (Five)"
042,347,-004,0054,000,0522,"Clan Mine Pattern (Five)"
042,346,0010,0064,000,0522,"Clan Mine Pattern (Five)"
042,365,0004,0054,000,0522,"Clan Mine Pattern (Five)"
042,366,-004,0052,000,0522,"Clan Mine Pattern (Five)"
042,367,-012,0060,000,0522,"Clan Mine Pattern (Five)"
042,387,0000,0070,000,0522,"Clan Mine Pattern (Five)"
042,386,0000,0050,000,0522,"Clan Mine Pattern (Five)"
042,385,0006,0064,000,0522,"Clan Mine Pattern (Five)"
042,225,-006,0064,000,0522,"Clan Mine Pattern (Five)"
042,285,0010,0052,000,0522,"Clan Mine Pattern (Five)"
042,345,-004,0060,000,0522,"Clan Mine Pattern (Five)"
042,302,-001,0060,000,0409,"Missile Turret"
042,264,0008,0062,000,0522,"Clan Mine Pattern (Five)"
042,244,0012,0060,000,0522,"Clan Mine Pattern (Five)"
042,224,0004,0056,000,0522,"Clan Mine Pattern (Five)"
042,223,0000,0054,000,0522,"Clan Mine Pattern (Five)"
042,243,0002,0058,000,0522,"Clan Mine Pattern (Five)"
042,263,0002,0060,000,0522,"Clan Mine Pattern (Five)"
042,262,0000,0064,000,0522,"Clan Mine Pattern (Five)"
042,242,0004,0060,000,0522,"Clan Mine Pattern (Five)"
042,222,0002,0056,000,0522,"Clan Mine Pattern (Five)"
042,221,0010,0066,000,0522,"Clan Mine Pattern (Five)"
042,241,0004,0060,000,0522,"Clan Mine Pattern (Five)"
042,261,0010,0066,000,0522,"Clan Mine Pattern (Five)"
042,260,0006,0062,000,0522,"Clan Mine Pattern (Five)"
042,240,0006,0066,000,0522,"Clan Mine Pattern (Five)"
042,220,0008,0060,000,0522,"Clan Mine Pattern (Five)"
042,207,-006,0060,000,0522,"Clan Mine Pattern (Five)"
042,187,-002,0054,000,0522,"Clan Mine Pattern (Five)"
042,167,-010,0058,000,0522,"Clan Mine Pattern (Five)"
042,147,-006,0064,000,0522,"Clan Mine Pattern (Five)"
042,127,-006,0064,000,0522,"Clan Mine Pattern (Five)"
