Blk,Vtx,XPOf,YPOf,Dm,ObjN,ObjectName
004,314,-004,0055,000,0101,"Underground Bunker SSW"
004,295,0022,0064,000,0686,"Blue Flag"
004,380,-076,0038,000,0254,"Small Barrels B /"
004,382,-058,0082,000,0254,"Small Barrels B /"
004,382,-006,0060,000,0254,"Small Barrels B /"
004,382,0048,0056,000,0255,"Small Barrels B \"
012,319,-042,0034,000,0274,"Rock Cluster C"
012,315,0016,0070,000,0274,"Rock Cluster C"
012,218,0008,0024,000,0274,"Rock Cluster C"
012,039,0032,0104,000,0254,"Small Barrels B /"
013,354,0002,0068,000,0533,"Pressure Tank"
013,314,-006,0060,000,0533,"Pressure Tank"
013,271,0000,0092,000,0706,"Large Gate Control NW"
013,289,0000,0064,000,0690,"Large Northwest Gate"
013,330,0062,0070,000,0203,"Junked Cars NE"
013,331,0003,0053,032,0069,"Small Barn SSW (w/underlay)"
013,312,-086,0062,000,0200,"Junked Cars SE"
013,311,-036,0084,000,0202,"Junked Cars NW"
013,331,0013,0008,000,0201,"Junked Cars SW"
013,331,-087,0054,000,0202,"Junked Cars NW"
013,351,-002,0008,000,0201,"Junked Cars SW"
013,350,0046,0092,000,0203,"Junked Cars NE"
013,351,-075,0066,000,0202,"Junked Cars NW"
013,351,-025,0098,000,0200,"Junked Cars SE"
013,351,0001,0059,000,0201,"Junked Cars SW"
013,351,0033,0078,000,0202,"Junked Cars NW"
013,352,-092,0059,000,0648,"Debris A"
013,351,0085,0053,000,0649,"Debris B"
013,331,0071,0071,000,0535,"Supply Container SW"
013,170,0008,0030,000,0535,"Supply Container SW"
013,171,0012,0028,000,0535,"Supply Container SW"
013,190,0004,0022,000,0535,"Supply Container SW"
013,191,0006,0024,000,0535,"Supply Container SW"
013,210,0004,0018,000,0535,"Supply Container SW"
013,211,0010,0020,000,0535,"Supply Container SW"
013,190,0036,0090,000,0534,"Supply Container SE"
013,170,0044,0086,000,0534,"Supply Container SE"
013,171,0032,0090,000,0534,"Supply Container SE"
013,191,0024,0092,000,0534,"Supply Container SE"
013,270,-060,0064,000,0264,"Guardhouse SE"
013,397,0010,0046,000,0274,"Rock Cluster C"
013,376,0042,0038,000,0274,"Rock Cluster C"
013,336,0022,0056,000,0274,"Rock Cluster C"
013,377,0028,0070,000,0274,"Rock Cluster C"
013,315,0046,0032,000,0274,"Rock Cluster C"
013,379,-004,0064,000,0533,"Pressure Tank"
013,152,-012,0046,000,0626,"Loading Facility NE"
013,213,0000,0054,000,0725,"Liquid Storage B R4"
013,294,0018,0056,000,0721,"Industrial Complex SE"
013,360,0008,0006,000,0274,"Rock Cluster C"
013,362,0018,0078,000,0274,"Rock Cluster C"
013,325,0020,0082,000,0274,"Rock Cluster C"
013,364,0022,0104,000,0274,"Rock Cluster C"
013,202,-068,0060,000,0274,"Rock Cluster C"
013,243,0044,0096,000,0274,"Rock Cluster C"
013,226,-036,0072,000,0274,"Rock Cluster C"
013,184,0068,0064,000,0274,"Rock Cluster C"
013,120,-046,0050,000,0274,"Rock Cluster C"
013,124,0018,0056,000,0274,"Rock Cluster C"
013,100,0078,0050,000,0274,"Rock Cluster C"
013,002,0010,0054,000,0254,"Small Barrels B /"
013,002,-038,0090,000,0254,"Small Barrels B /"
013,022,0018,0064,000,0254,"Small Barrels B /"
013,022,-032,0088,000,0254,"Small Barrels B /"
013,061,0082,0054,000,0253,"Small Barrels A \"
013,061,0028,0018,000,0253,"Small Barrels A \"
013,062,0028,0020,000,0253,"Small Barrels A \"
013,040,-020,0108,000,0253,"Small Barrels A \"
